Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Outlet_age,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,new_Item_Identifier_Drinks,new_Item_Identifier_Food,new_Item_Identifier_Non-consumable
0.09288873766587276,0.12688679194972646,0.08419232058455428,443.4228,0.0,0,1,0,0,1,0,1,0,0
0.8809118747873427,0.10653983318755127,0.5470676089246082,2097.27,0.4166666666666667,1,0,0,1,0,0,0,1,0
0.9965974821367811,0.5054726600421008,0.7477750957497238,732.38,0.4583333333333333,0,1,1,0,0,0,0,1,0
0.2977203130316434,0.5054726600421008,0.1119215596048229,994.7052,0.9166666666666666,1,0,0,1,0,0,0,0,1
0.3974140864239537,0.5054726600421008,0.09972053576210034,556.6088,0.0,0,1,0,0,1,0,0,1,0
0.6189179993194964,0.07406582064903197,0.13075118162398672,343.5528,0.9166666666666666,0,1,0,1,0,0,0,1,0
0.7924464103436543,0.10595029731237705,0.3256908756612235,1076.5986,0.2916666666666667,0,1,0,1,0,0,0,1,0
0.49302483838040156,0.5054726600421008,0.07066042020790235,1516.0266,0.4166666666666667,1,0,0,1,0,0,0,1,0
0.9489622320517183,0.3384700386557642,0.5594253231491196,2187.153,0.5,0,1,0,1,0,0,0,1,0
0.717591017352841,0.7792400534233709,0.56621061170735,1589.2646,0.4166666666666667,0,1,0,1,0,0,0,1,0
0.8877169105137803,0.3529622333433107,0.4382778735330111,2145.2076,0.5,0,1,0,1,0,0,0,1,0
0.8026539639333108,0.5207624966721901,0.818918479349596,1977.4260000000002,0.9166666666666666,1,0,0,1,0,0,0,1,0
0.3024838380401497,0.529365117995895,0.12431795056914312,1547.3192,0.5,0,1,0,1,0,0,0,1,0
0.49302483838040156,0.040573288954560055,0.4168122829391942,1621.8888,0.0,1,0,0,0,1,0,0,0,1
0.3024838380401497,0.5302330473832642,0.11440083779768695,718.3982,0.4166666666666667,0,1,0,1,0,0,0,1,0
0.5649979710198152,0.247761531611311,0.4065688971575572,2303.6679999999997,1.0,1,0,0,0,0,1,1,0,0
0.5985028921401837,0.7992676765497577,0.9879685587856694,2748.4224,0.20833333333333334,1,0,0,1,0,0,0,1,0
0.6835658387206532,0.17876069686710255,0.8192447523597769,1587.2672,0.20833333333333334,1,0,0,1,0,0,0,0,1
0.5649979710198152,0.43618511909673485,0.3788525503838914,214.3876,1.0,1,0,1,0,0,0,0,1,0
0.5746852670976522,0.778218746615427,0.07247426013380172,838.908,0.08333333333333333,1,0,0,1,0,0,0,0,1
0.21027560394692071,0.5100089230720204,0.054649241638386366,1065.28,0.20833333333333334,0,1,0,1,0,0,0,1,0
0.4828172847907452,0.12751636497161586,0.03880764569726228,308.9312,0.9166666666666666,1,0,0,1,0,0,1,0,0
0.5649979710198152,0.5546789373128012,0.06126494756822479,125.8362,1.0,0,1,1,0,0,0,0,1,0
0.9557672677781559,0.6242294081480304,0.32306779933317337,2741.7644,0.0,1,0,0,0,1,0,0,0,1
